timestamp,Analog Temperature (oC),Analog VOC in Air,Analog Alcohol in Air,GM102B VOC,GM302B VOC,GM502B VOC,GM702B VOC,Digital Temperature (oC),Air Pressure (hPa),Humidity %,BM680 VOC
0,26.209147191672173,1.11864406779661,1.1616364855801475,1.1198257080610023,1.169811320754717,1.182692307692308,1.0040160642570282,30.04,1015.19,34.958,1.218191459712246
1,26.152243319193246,1.11864406779661,1.163196776359973,1.1176470588235294,1.1671159029649596,1.1794871794871795,0.9839357429718877,30.04,1015.2,34.975,1.232532663124874
2,26.11433202290391,1.152542372881356,1.1726472579553149,1.1154684095860568,1.1644204851752022,1.1794871794871795,0.9879518072289157,30.04,1015.2,34.98,1.2161427161733351
3,26.133285237884536,1.11864406779661,1.1647612642905179,1.1154684095860568,1.1644204851752022,1.1730769230769231,0.9839357429718877,30.04,1015.19,34.98,1.1987283941318818
4,26.000712522887284,1.1271186440677965,1.1616364855801475,1.1176470588235294,1.1644204851752022,1.1730769230769231,0.9799196787148594,30.06,1015.2,34.979,1.155704759928412
5,26.152243319193246,1.1101694915254237,1.1616364855801475,1.1154684095860568,1.1644204851752022,1.1730769230769231,0.9879518072289157,30.06,1015.2,34.955,1.1577535048999166
6,26.17120630986119,1.1101694915254237,1.1663299663299664,1.1154684095860568,1.1644204851752022,1.1730769230769231,1.0120481927710845,30.06,1015.2,34.955,1.1608266222661188
7,26.0764400200718,1.1271186440677965,1.1608579088471849,1.113289760348584,1.1617250673854447,1.1730769230769231,1.0120481927710845,30.06,1015.2,34.962,1.162875367116217
8,26.0764400200718,1.1016949152542372,1.163196776359973,1.1525054466230937,1.1859838274932615,1.1730769230769231,1.028112449799197,30.06,1015.2,34.996,1.1659484843003098
9,26.000712522887284,1.11864406779661,1.1758316361167684,1.320261437908497,1.2911051212938003,1.2275641025641026,1.2008032128514057,30.06,1015.2,35.203,1.1823384407700959
10,26.000712522887284,1.152542372881356,1.1814461118690311,1.5533769063180831,1.471698113207547,1.3205128205128205,1.4457831325301207,30.06,1015.2,35.387,1.2151183443856688
11,25.962876344655342,1.1779661016949152,1.2128851540616248,1.6165577342047932,1.5606469002695416,1.3846153846153848,1.4979919678714861,30.06,1015.2,35.445,1.227410805036385
12,26.152243319193246,1.194915254237288,1.2469402447804174,1.6427015250544663,1.646900269541779,1.4326923076923077,1.538152610441767,30.05,1015.2,35.44,1.2519957210930723
13,25.962876344655342,1.2457627118644068,1.291573452647278,1.6623093681917214,1.692722371967655,1.4967948717948718,1.5542168674698795,30.05,1015.2,35.445,1.2745318880018872
14,26.03856696751535,1.2033898305084747,1.3251721499617444,1.636165577342048,1.7115902964959568,1.528846153846154,1.5100401606425704,30.05,1015.21,35.423,1.2847755982906695
15,25.962876344655342,1.2203389830508475,1.373513084853291,1.647058823529412,1.738544474393531,1.5705128205128205,1.5180722891566265,30.05,1015.18,35.399,1.3001411614474803
16,26.133285237884536,1.2203389830508475,1.3911646586345383,1.6318082788671024,1.7439353099730457,1.5865384615384617,1.4859437751004019,30.05,1015.19,35.365,1.2898974529797882
17,26.03856696751535,1.2288135593220337,1.4278647980214345,1.6187363834422661,1.7466307277628033,1.596153846153846,1.4337349397590364,30.05,1015.19,35.341,1.2980924198510666
18,26.11433202290391,1.2457627118644068,1.4803418803418802,1.6034858387799564,1.752021563342318,1.6057692307692308,1.385542168674699,30.05,1015.19,35.307,1.3042386444946201
19,26.17120630986119,1.2457627118644068,1.5395555555555556,1.6775599128540306,1.811320754716981,1.637820512820513,1.538152610441767,30.05,1015.19,35.278,1.3062873859453468
20,25.981792171786196,1.211864406779661,1.5875343721356552,1.7298474945533768,1.8544474393530996,1.6891025641025643,1.6626506024096386,30.05,1015.19,35.25,1.3062873859453468
21,26.11433202290391,1.2203389830508475,1.6096654275092936,1.7276688453159041,1.870619946091644,1.7211538461538463,1.6586345381526104,30.05,1015.21,35.197,1.2919461947704514
22,26.09538363127433,1.2457627118644068,1.629350893697084,1.7102396514161222,1.8679245283018866,1.733974358974359,1.5983935742971889,30.05,1015.21,35.175,1.2776050012159983
23,26.000712522887284,1.2372881355932204,1.6432637571157496,1.6797385620915033,1.851752021563342,1.7435897435897436,1.48995983935743,30.06,1015.21,35.14,1.2642881764990443
24,26.133285237884536,1.2627118644067794,1.660594439117929,1.6448801742919392,1.8328840970350402,1.7371794871794872,1.3895582329317269,30.06,1015.21,35.106,1.2601906915579697
25,26.133285237884536,1.2203389830508475,1.6848249027237352,1.6405228758169939,1.8221024258760103,1.746794871794872,1.4257028112449803,30.06,1015.2,35.071,1.2448251212989052
26,26.09538363127433,1.2457627118644068,1.6930596285434993,1.6797385620915033,1.8328840970350402,1.7724358974358974,1.5421686746987953,30.06,1015.2,35.054,1.2386788924304206
27,26.03856696751535,1.2542372881355932,1.7131552917903066,1.673202614379085,1.824797843665768,1.7884615384615385,1.5180722891566265,30.06,1015.19,35.019,1.2335570347061502
