timestamp,Analog Temperature (oC),Analog VOC in Air,Analog Alcohol in Air,GM102B VOC,GM302B VOC,GM502B VOC,GM702B VOC,Digital Temperature (oC),Air Pressure (hPa),Humidity %,BM680 VOC
0,26.228125169152122,1.1403508771929824,1.0990396158463385,1.0373626373626372,1.063660477453581,1.0360360360360361,1.176991150442478,30.17,1015.76,35.894,0.9528096808811303
1,26.03856696751535,1.1403508771929824,1.0957510472770795,1.035164835164835,1.063660477453581,1.033033033033033,1.1637168141592922,30.17,1015.72,35.946,0.9778795423698583
2,26.190174252973975,1.105263157894737,1.1030120481927712,1.0373626373626372,1.063660477453581,1.03003003003003,1.1283185840707965,30.16,1015.73,35.946,0.9631325662469913
3,26.03856696751535,1.105263157894737,1.0964071856287425,1.0373626373626372,1.06631299734748,1.03003003003003,1.1548672566371683,30.16,1015.73,35.957,0.9528096808811303
4,26.03856696751535,1.1315789473684212,1.0964071856287425,1.0373626373626372,1.063660477453581,1.03003003003003,1.1858407079646018,30.16,1015.74,35.957,0.9388000480021073
5,26.057501146425125,1.105263157894737,1.0957510472770795,1.035164835164835,1.06631299734748,1.033033033033033,1.2035398230088494,30.18,1015.76,35.972,0.9056193259677894
6,26.228125169152122,1.1140350877192982,1.0944411237298268,1.0373626373626372,1.063660477453581,1.033033033033033,1.225663716814159,30.18,1015.76,35.959,0.9041446267999806
7,26.228125169152122,1.1228070175438598,1.0950956937799043,1.0571428571428572,1.0981432360742704,1.033033033033033,1.2079646017699115,30.18,1015.76,35.953,0.9063566755385855
8,26.247108228666548,1.1228070175438598,1.0996996996996997,1.4659340659340658,1.3262599469496021,1.1231231231231233,1.5088495575221237,30.18,1015.75,35.994,0.9188916169050672
9,26.057501146425125,1.1491228070175439,1.1288532675709002,1.7648351648351646,1.6047745358090186,1.3273273273273276,2.061946902654867,30.17,1015.76,36.182,0.9417494446598577
10,26.152243319193246,1.1842105263157894,1.1610653138871274,1.8109890109890108,1.7241379310344829,1.4864864864864866,2.1769911504424777,30.17,1015.72,36.362,0.954284378895406
11,26.03856696751535,1.219298245614035,1.20778364116095,1.782417582417582,1.7665782493368698,1.54954954954955,2.088495575221239,30.17,1015.72,36.426,0.9690313571156044
12,26.152243319193246,1.219298245614035,1.2636300897170463,1.7670329670329668,1.7851458885941645,1.5885885885885886,1.9778761061946903,30.17,1015.72,36.415,0.9793542397898898
13,26.209147191672173,1.2280701754385965,1.309728183118741,1.7494505494505492,1.7957559681697612,1.6156156156156158,1.8849557522123892,30.17,1015.72,36.368,0.9904144693259178
14,26.01963744057491,1.2543859649122808,1.351291512915129,1.7384615384615383,1.8010610079575595,1.636636636636637,1.823008849557522,30.17,1015.72,36.334,0.9926265149971738
15,26.152243319193246,1.2543859649122808,1.3684603886397608,1.7274725274725273,1.7984084880636606,1.6456456456456459,1.809734513274336,30.18,1015.75,36.324,0.956496425851277
16,26.057501146425125,1.2719298245614035,1.4138996138996138,1.701098901098901,1.7851458885941645,1.651651651651652,1.7654867256637166,30.18,1015.75,36.249,0.961657868442449
17,26.17120630986119,1.3157894736842106,1.4934747145187603,1.6725274725274724,1.7665782493368698,1.651651651651652,1.668141592920354,30.18,1015.75,36.197,0.9756674961742698
18,26.17120630986119,1.298245614035088,1.5730240549828178,1.6747252747252745,1.782493368700265,1.6486486486486487,1.6504424778761062,30.17,1015.76,36.148,1.0
19,26.228125169152122,1.324561403508772,1.6246672582076311,1.7098901098901096,1.7984084880636606,1.66966966966967,1.747787610619469,30.17,1015.71,36.143,1.0140096190978098
20,26.190174252973975,1.2894736842105263,1.6813590449954086,1.6967032967032967,1.8063660477453578,1.66966966966967,1.7168141592920352,30.17,1015.71,36.12,1.0258071906280286
21,26.190174252973975,1.2894736842105263,1.7388414055080723,1.665934065934066,1.7931034482758619,1.6576576576576578,1.6460176991150441,30.17,1015.71,36.09,1.026544538774387
22,26.209147191672173,1.307017543859649,1.7950980392156861,1.6307692307692307,1.7771883289124668,1.651651651651652,1.5530973451327434,30.17,1015.71,36.073,1.0169590121900975
23,26.228125169152122,1.2719298245614035,1.8532388663967612,1.5934065934065935,1.7506631299734747,1.6336336336336337,1.486725663716814,30.17,1015.72,36.056,1.0140096190978098
24,26.190174252973975,1.2894736842105263,1.8760245901639345,1.5626373626373626,1.7294429708222812,1.621621621621622,1.4336283185840708,30.17,1015.72,36.032,0.9985253030693458
25,26.03856696751535,1.280701754385965,1.9072916666666668,1.5340659340659342,1.702917771883289,1.606606606606607,1.4203539823008848,30.17,1015.72,36.021,0.9977879545909103
26,26.133285237884536,1.280701754385965,1.9293993677555323,1.512087912087912,1.6816976127320955,1.591591591591592,1.3982300884955752,30.17,1015.73,36.01,0.9896771207513548
27,26.11433202290391,1.2894736842105263,1.9603854389721627,1.4989010989010987,1.663129973474801,1.57957957957958,1.3805309734513274,30.17,1015.73,36.01,0.9985253030693458
28,26.17120630986119,1.298245614035088,1.9773218142548599,1.479120879120879,1.6392572944297081,1.5675675675675678,1.3849557522123892,30.17,1015.73,36.01,0.9918891664488273
29,26.0764400200718,1.2894736842105263,2.0010928961748635,1.4659340659340658,1.6259946949602122,1.5525525525525528,1.3628318584070798,30.17,1015.73,35.993,0.9911518178917421
30,26.228125169152122,1.2894736842105263,2.0076754385964914,1.448351648351648,1.6074270557029178,1.5405405405405408,1.331858407079646,30.17,1015.72,35.993,0.9837783318402507
31,26.209147191672173,1.2719298245614035,2.0165198237885464,1.4329670329670328,1.5888594164456233,1.5285285285285288,1.3274336283185841,30.17,1015.72,35.986,0.9793542397898898
32,26.11433202290391,1.2894736842105263,2.0276854928017722,1.4197802197802196,1.5755968169761274,1.5165165165165169,1.3097345132743363,30.17,1015.72,35.998,0.9771421936467345
33,26.03856696751535,1.307017543859649,2.0367074527252504,1.4087912087912084,1.5649867374005306,1.5045045045045047,1.3053097345132745,30.17,1015.72,35.986,0.9749301474249292
34,26.11433202290391,1.280701754385965,2.0549943883277217,1.3956043956043955,1.5490716180371353,1.4924924924924925,1.3141592920353982,30.17,1015.73,35.98,0.9845156804847249
35,26.190174252973975,1.298245614035088,2.07361268403171,1.3824175824175822,1.53315649867374,1.4774774774774777,1.2964601769911506,30.17,1015.72,35.974,0.9867277263657137
36,26.209147191672173,1.2631578947368423,2.07361268403171,1.3670329670329668,1.5172413793103448,1.4654654654654655,1.2876106194690267,30.16,1015.73,35.98,0.9800915884867972
37,26.209147191672173,1.280701754385965,2.07361268403171,1.3538461538461537,1.506631299734748,1.4564564564564566,1.2920353982300885,30.16,1015.73,35.974,0.9749301474249292
38,26.17120630986119,1.2543859649122808,2.0759637188208617,1.3472527472527471,1.4960212201591512,1.4474474474474477,1.2920353982300885,30.16,1015.72,35.974,0.971980752340178
39,26.209147191672173,1.2719298245614035,2.0665914221218964,1.345054945054945,1.4986737400530503,1.4354354354354355,1.2654867256637168,30.16,1015.72,35.974,0.9712434035471429
40,26.228125169152122,1.2631578947368423,2.061936936936937,1.5296703296703293,1.5862068965517242,1.4624624624624627,1.4469026548672566,30.16,1015.72,35.968,0.9771421936467345
41,26.152243319193246,1.307017543859649,2.07361268403171,1.5516483516483515,1.610079575596817,1.4834834834834836,1.5132743362831858,30.16,1015.71,35.968,0.9764048449148716
42,26.057501146425125,1.2894736842105263,2.061936936936937,1.523076923076923,1.6153846153846154,1.4864864864864866,1.486725663716814,30.16,1015.71,35.98,0.9734554499000314
43,26.09538363127433,1.298245614035088,2.0596175478065244,1.4923076923076921,1.6074270557029178,1.4834834834834836,1.415929203539823,30.16,1015.72,35.98,0.9749301474249292
44,26.17120630986119,1.3333333333333335,2.064261555806088,1.4637362637362634,1.5915119363395227,1.4744744744744747,1.3584070796460177,30.16,1015.72,35.968,0.9749301474249292
45,26.190174252973975,1.2894736842105263,2.048098434004474,1.4395604395604396,1.5782493368700266,1.4654654654654655,1.3141592920353982,30.16,1015.73,35.974,0.9727181011244741
46,26.228125169152122,1.2631578947368423,2.032186459489456,1.448351648351648,1.5755968169761274,1.4684684684684686,1.331858407079646,30.16,1015.73,35.968,0.9727181011244741
47,26.209147191672173,1.307017543859649,2.0367074527252504,1.448351648351648,1.5649867374005306,1.4684684684684686,1.323008849557522,30.16,1015.73,35.974,0.9727181011244741
48,26.228125169152122,1.298245614035088,1.9751887810140238,1.4351648351648352,1.5543766578249338,1.4654654654654655,1.3141592920353982,30.16,1015.73,35.974,0.9741927986668496
49,26.0764400200718,1.2719298245614035,1.988056460369164,1.4153846153846152,1.5411140583554377,1.4564564564564566,1.3053097345132745,30.16,1015.73,35.957,0.9712434035471429
50,26.17120630986119,1.2719298245614035,1.9603854389721627,1.3934065934065933,1.5251989389920424,1.4504504504504505,1.2920353982300885,30.16,1015.74,35.974,0.9705060547453691
51,26.190174252973975,1.2894736842105263,1.9334741288278776,1.3758241758241756,1.509283819628647,1.4444444444444446,1.2566371681415929,30.16,1015.73,35.974,0.9631325662469913
52,26.133285237884536,1.298245614035088,1.9013499480789202,1.3670329670329668,1.5013262599469497,1.4384384384384385,1.2212389380530972,30.15,1015.73,35.967,0.9557590768747255
53,26.09538363127433,1.2719298245614035,1.8895768833849331,1.3538461538461537,1.4854111405835544,1.4324324324324327,1.225663716814159,30.15,1015.73,35.978,0.9505976337941757
54,26.209147191672173,1.3157894736842106,1.8494949494949495,1.3406593406593406,1.4748010610079576,1.4234234234234235,1.238938053097345,30.15,1015.71,35.984,0.9469108884744738
55,26.17120630986119,1.2631578947368423,1.834669338677355,1.3274725274725274,1.4615384615384615,1.4144144144144146,1.261061946902655,30.15,1015.74,35.978,0.9395373971796532
56,26.190174252973975,1.2543859649122808,1.8075024679170781,1.4241758241758242,1.519893899204244,1.4174174174174177,1.3097345132743363,30.15,1015.73,36.007,0.942486793802448
57,26.0764400200718,1.298245614035088,1.78286270691334,1.542857142857143,1.5915119363395227,1.4384384384384385,1.4247787610619467,30.16,1015.73,36.079,0.9417494446598577
58,26.09538363127433,1.280701754385965,1.7707930367504836,1.5846153846153845,1.6339522546419099,1.4624624624624627,1.4778761061946903,30.16,1015.73,36.113,0.9388000480021073
59,26.209147191672173,1.324561403508772,1.7421503330161752,1.5846153846153845,1.6472148541114058,1.4684684684684686,1.4646017699115044,30.17,1015.71,36.126,0.9166795686121457
60,26.17120630986119,1.280701754385965,1.7471374045801527,1.5604395604395604,1.6472148541114058,1.4714714714714716,1.4203539823008848,30.17,1015.71,36.085,0.9196289663185631
61,26.17120630986119,1.342105263157895,1.7289896128423041,1.5384615384615385,1.6472148541114058,1.4744744744744747,1.3539823008849559,30.16,1015.71,36.073,0.9203663157233203
62,26.057501146425125,1.2631578947368423,1.7048417132216016,1.5098901098901096,1.636604774535809,1.4714714714714716,1.3141592920353982,30.16,1015.72,36.068,0.9247904119683457
63,26.03856696751535,1.298245614035088,1.687557603686636,1.49010989010989,1.623342175066313,1.4654654654654655,1.2831858407079646,30.16,1015.73,36.049,0.9277398092902518
64,26.209147191672173,1.3157894736842106,1.6675774134790529,1.4615384615384615,1.6021220159151193,1.4624624624624627,1.247787610619469,30.15,1015.74,36.042,0.9218410145066177
65,26.11433202290391,1.324561403508772,1.6540198735320688,1.4417582417582415,1.5888594164456233,1.4504504504504505,1.2566371681415929,30.15,1015.71,36.036,0.9218410145066177
66,26.17120630986119,1.307017543859649,1.6246672582076311,1.4263736263736262,1.572944297082228,1.4444444444444446,1.3008849557522124,30.15,1015.72,36.042,0.933638603514597
67,26.0764400200718,1.298245614035088,1.6203539823008852,1.4219780219780218,1.5649867374005306,1.4414414414414416,1.3008849557522124,30.17,1015.72,36.027,0.9026699275972161
68,26.03856696751535,1.2719298245614035,1.6047326906222612,1.4109890109890109,1.5543766578249338,1.4384384384384385,1.2831858407079646,30.17,1015.72,36.004,0.9004578787275281
69,26.09538363127433,1.298245614035088,1.5894097222222223,1.3956043956043955,1.5384615384615385,1.4294294294294296,1.261061946902655,30.17,1015.73,35.98,0.9048819763882544
70,26.057501146425125,1.280701754385965,1.56898029134533,1.378021978021978,1.522546419098143,1.4204204204204205,1.2743362831858407,30.16,1015.73,35.98,0.9078313746539607
71,26.209147191672173,1.2631578947368423,1.5543293718166382,1.3604395604395603,1.506631299734748,1.4114114114114116,1.2566371681415929,30.16,1015.73,35.968,0.9100434232614824
72,26.228125169152122,1.298245614035088,1.5451476793248944,1.345054945054945,1.4907161803713527,1.4024024024024027,1.252212389380531,30.16,1015.73,35.957,0.9166795686121457
73,26.0764400200718,1.3157894736842106,1.5182421227197347,1.334065934065934,1.4748010610079576,1.3963963963963966,1.225663716814159,30.16,1015.73,35.929,0.9188916169050672
74,26.0764400200718,1.298245614035088,1.5107260726072609,1.3208791208791208,1.4641909814323608,1.3873873873873876,1.1991150442477876,30.16,1015.73,35.888,0.9152048697065039
75,26.190174252973975,1.2631578947368423,1.5082372322899507,1.3032967032967033,1.4482758620689655,1.3753753753753755,1.172566371681416,30.16,1015.73,35.899,0.9174169180518587
76,26.17120630986119,1.2543859649122808,1.4766129032258066,1.298901098901099,1.4403183023872679,1.3693693693693696,1.1460176991150441,30.16,1015.71,35.888,0.8908723327167009
77,26.09538363127433,1.2543859649122808,1.4849959448499594,1.2901098901098902,1.4323607427055705,1.3663663663663665,1.1415929203539823,30.17,1015.76,35.882,0.8694891862936351
78,26.11433202290391,1.2631578947368423,1.4648,1.2835164835164834,1.427055702917772,1.3603603603603605,1.1460176991150441,30.19,1015.74,35.867,0.8540048342959056
79,26.03856696751535,1.2543859649122808,1.4566428003182181,1.2813186813186812,1.416445623342175,1.3513513513513515,1.1371681415929202,30.2,1015.75,35.855,0.8377831280695438
80,26.228125169152122,1.2631578947368423,1.4718649517684887,1.2725274725274722,1.4137931034482758,1.3483483483483485,1.1327433628318584,30.2,1015.74,35.848,0.8304096238411539
81,26.03856696751535,1.2280701754385965,1.4508716323296356,1.2659340659340659,1.403183023872679,1.3423423423423426,1.1504424778761062,30.2,1015.74,35.842,0.8481060325211528
82,26.152243319193246,1.2719298245614035,1.4497228820269201,1.2637362637362637,1.3952254641909816,1.3393393393393396,1.1637168141592922,30.2,1015.74,35.836,0.843681930823054
83,26.228125169152122,1.2280701754385965,1.442868400315209,1.259340659340659,1.389920424403183,1.3333333333333335,1.168141592920354,30.21,1015.73,35.842,0.8252481703613159
84,26.190174252973975,1.2456140350877194,1.4204809930178435,1.2505494505494503,1.3793103448275863,1.3213213213213217,1.176991150442478,30.19,1015.76,35.844,0.870226536292637
85,26.247108228666548,1.2719298245614035,1.4160866202629545,1.2439560439560438,1.3660477453580904,1.3183183183183185,1.168141592920354,30.18,1015.75,35.861,0.876862685890405
86,26.209147191672173,1.2543859649122808,1.4019908116385913,1.2417582417582418,1.3607427055702919,1.3123123123123126,1.1814159292035398,30.18,1015.75,35.884,0.8879229336470161
87,26.247108228666548,1.236842105263158,1.3966437833714722,1.235164835164835,1.3527851458885942,1.3003003003003004,1.176991150442478,30.17,1015.7,35.911,0.8938217316465633
88,26.133285237884536,1.219298245614035,1.3850226928895613,1.2307692307692306,1.3448275862068966,1.2972972972972976,1.1858407079646018,30.17,1015.71,35.905,0.9041446267999806
89,26.03856696751535,1.219298245614035,1.3829305135951662,1.2263736263736262,1.3395225464190983,1.2942942942942945,1.172566371681416,30.18,1015.75,35.902,0.8717012362644244
90,26.11433202290391,1.2280701754385965,1.3694839192221393,1.2219780219780219,1.336870026525199,1.2882882882882885,1.168141592920354,30.18,1015.75,35.89,0.8798120854844238
91,26.133285237884536,1.2631578947368423,1.3715355805243445,1.2197802197802197,1.3289124668435013,1.2822822822822826,1.168141592920354,30.17,1015.75,35.888,0.8886602834275457
92,26.0764400200718,1.2456140350877194,1.3562962962962963,1.2153846153846153,1.3236074270557028,1.2792792792792793,1.1637168141592922,30.17,1015.71,35.894,0.8908723327167009
93,26.11433202290391,1.2105263157894737,1.3473142016188375,1.2087912087912087,1.3183023872679045,1.2732732732732732,1.1548672566371683,30.17,1015.7,35.888,0.8930843819272059
94,26.228125169152122,1.2456140350877194,1.3522895125553915,1.2065934065934065,1.312997347480106,1.2642642642642643,1.1637168141592922,30.17,1015.71,35.882,0.8849735344375087
