timestamp,Analog Temperature (oC),Analog VOC in Air,Analog Alcohol in Air,GM102B VOC,GM302B VOC,GM502B VOC,GM702B VOC,Digital Temperature (oC),Air Pressure (hPa),Humidity %,BM680 VOC
0,26.11433202290391,1.1779661016949152,1.1920165175498967,1.0130718954248368,1.0458221024258758,1.0544871794871795,1.0883534136546187,29.95,1015.19,34.883,1.2356057778322802
1,26.152243319193246,1.152542372881356,1.1928374655647382,1.0130718954248368,1.0458221024258758,1.051282051282051,1.0763052208835342,29.94,1015.21,34.91,1.2335570347061502
2,26.09538363127433,1.194915254237288,1.1944827586206896,1.0108932461873639,1.0485175202156332,1.051282051282051,1.0803212851405624,29.94,1015.2,34.938,1.218191459712246
3,26.133285237884536,1.1610169491525422,1.1961325966850829,1.0152505446623095,1.0458221024258758,1.0544871794871795,1.0602409638554218,29.94,1015.21,34.949,1.1987283941318818
4,25.981792171786196,1.1694915254237288,1.193659545141282,1.0130718954248368,1.0485175202156332,1.051282051282051,1.1044176706827311,29.94,1015.21,34.973,1.1997527661137983
5,26.0764400200718,1.1355932203389831,1.1887439945092657,1.0130718954248368,1.0485175202156332,1.051282051282051,1.100401606425703,29.94,1015.21,34.973,1.187460301529521
6,25.981792171786196,1.1610169491525422,1.1895604395604396,1.0130718954248368,1.0485175202156332,1.051282051282051,1.0803212851405624,29.96,1015.2,34.982,1.1516072698397153
7,25.981792171786196,1.1864406779661016,1.193659545141282,1.0174291938997821,1.0539083557951483,1.051282051282051,1.0481927710843375,29.96,1015.21,34.976,1.1577535048999166
8,26.03856696751535,1.1610169491525422,1.1903780068728522,1.2483660130718954,1.2075471698113207,1.0865384615384617,1.1526104417670682,29.96,1015.21,35.04,1.1638997395230553
9,26.01963744057491,1.1694915254237288,1.2036136205698402,1.6078431372549022,1.4474393530997305,1.2307692307692306,1.522088353413655,29.96,1015.2,35.166,1.1925821619854307
10,26.09538363127433,1.2033898305084747,1.2283687943262411,1.701525054466231,1.5929919137466308,1.3621794871794872,1.6947791164658634,29.95,1015.21,35.291,1.227410805036385
11,26.0764400200718,1.211864406779661,1.2469402447804174,1.6971677559912854,1.654986522911051,1.4262820512820515,1.6746987951807228,29.95,1015.21,35.332,1.2407276354351444
12,26.000712522887284,1.1694915254237288,1.2596363636363637,1.69281045751634,1.6711590296495957,1.448717948717949,1.6506024096385543,29.97,1015.21,35.339,1.2079477415320663
13,25.943964998927356,1.2033898305084747,1.291573452647278,1.6993464052287583,1.7466307277628033,1.4871794871794872,1.5983935742971889,29.97,1015.21,35.317,1.2438007498511758
14,26.0764400200718,1.271186440677966,1.34472049689441,1.8518518518518519,1.9541778975741242,1.580128205128205,1.779116465863454,29.96,1015.2,35.322,1.2817024853315113
15,25.943964998927356,1.2627118644067794,1.415032679738562,1.8518518518518519,1.9892183288409706,1.6442307692307694,1.8072289156626509,29.96,1015.2,35.339,1.2950193073653915
16,26.03856696751535,1.2966101694915255,1.4554621848739495,1.812636165577342,1.986522911051213,1.6762820512820513,1.7389558232931728,29.96,1015.2,35.345,1.3114092393597023
17,26.000712522887284,1.3305084745762712,1.5645889792231256,1.7908496732026145,1.9784366576819405,1.6923076923076923,1.6506024096385543,29.96,1015.21,35.334,1.3237016863158146
18,25.943964998927356,1.3728813559322033,1.6510962821734987,1.7647058823529413,1.9595687331536389,1.701923076923077,1.5622489959839356,29.96,1015.21,35.334,1.3114092393597023
19,26.0764400200718,1.3728813559322033,1.7182539682539681,1.7298474945533768,1.9353099730458223,1.701923076923077,1.5020080321285143,29.96,1015.21,35.334,1.307311756652499
20,26.09538363127433,1.38135593220339,1.7874097007223944,1.7037037037037037,1.9137466307277629,1.698717948717949,1.4698795180722894,29.96,1015.21,35.322,1.292970565647572
21,26.11433202290391,1.3644067796610169,1.8484525080042689,1.6840958605664487,1.8921832884097036,1.6955128205128205,1.4377510040160644,29.96,1015.21,35.311,1.2868243402027386
22,26.000712522887284,1.3728813559322033,1.897042716319825,1.6623093681917214,1.8679245283018866,1.6858974358974361,1.3815261044176708,29.96,1015.21,35.311,1.2950193073653915
23,26.09538363127433,1.3305084745762712,1.963718820861678,1.638344226579521,1.8463611859838274,1.682692307692308,1.349397590361446,29.96,1015.21,35.287,1.280678114320844
24,26.133285237884536,1.3389830508474576,2.0,1.6165577342047932,1.824797843665768,1.6762820512820513,1.3253012048192772,29.96,1015.21,35.27,1.2745318880018872
25,25.981792171786196,1.3389830508474576,2.013953488372093,1.5947712418300655,1.8032345013477087,1.666666666666667,1.3172690763052208,29.96,1015.21,35.253,1.270434403546437
26,26.01963744057491,1.3389830508474576,2.018648018648019,1.5860566448801745,1.7870619946091644,1.666666666666667,1.3413654618473898,29.97,1015.21,35.253,1.2642881764990443
27,26.152243319193246,1.3389830508474576,2.0233644859813085,1.5860566448801745,1.7816711590296492,1.6698717948717952,1.3815261044176708,29.97,1015.21,35.242,1.2683856612458688
28,26.03856696751535,1.3135593220338981,2.0233644859813085,1.5860566448801745,1.7681940700808623,1.6730769230769231,1.393574297188755,29.97,1015.22,35.224,1.280678114320844
29,26.000712522887284,1.3135593220338981,2.0069524913093857,1.564270152505447,1.752021563342318,1.666666666666667,1.357429718875502,29.97,1015.22,35.218,1.280678114320844
30,26.01963744057491,1.3050847457627117,1.9953917050691248,1.535947712418301,1.7277628032345012,1.6570512820512822,1.3172690763052208,29.97,1015.21,35.213,1.2868243402027386
31,26.09538363127433,1.3644067796610169,1.9816933638443934,1.525054466230937,1.7169811320754715,1.6474358974358976,1.3012048192771086,29.97,1015.21,35.229,1.2888730820662457
32,26.133285237884536,1.3220338983050848,1.970420932878271,1.5054466230936818,1.6981132075471699,1.6442307692307694,1.281124497991968,29.97,1015.21,35.218,1.280678114320844
33,26.03856696751535,1.3389830508474576,1.952649379932356,1.4814814814814816,1.6765498652291104,1.6250000000000002,1.2530120481927711,29.97,1015.2,35.235,1.2878487111405625
34,26.133285237884536,1.3220338983050848,1.9395296752519595,1.477124183006536,1.6684636118598382,1.621794871794872,1.2489959839357432,29.97,1015.19,35.235,1.29092182388119
35,26.0764400200718,1.3305084745762712,1.9138121546961329,1.5076252723311547,1.6684636118598382,1.6282051282051284,1.3293172690763053,29.97,1015.21,35.253,1.292970565647572
36,26.0764400200718,1.3135593220338981,1.8991228070175439,1.5424836601307192,1.6873315363881398,1.6442307692307694,1.4056224899598397,29.97,1015.21,35.242,1.2888730820662457
37,26.152243319193246,1.3644067796610169,1.9116997792494481,1.5838779956427018,1.6981132075471699,1.666666666666667,1.4497991967871489,29.97,1015.21,35.218,1.2868243402027386
38,26.133285237884536,1.3305084745762712,1.9053905390539054,1.5969498910675384,1.714285714285714,1.6923076923076923,1.4859437751004019,29.97,1015.21,35.196,1.292970565647572
39,26.133285237884536,1.3559322033898304,1.9351955307262572,1.6535947712418302,1.7493261455525604,1.7275641025641026,1.5903614457831328,29.97,1015.22,35.201,1.2847755982906695
40,26.000712522887284,1.38135593220339,1.9548532731376977,1.6753812636165577,1.778975741239892,1.75,1.5903614457831328,29.98,1015.22,35.181,1.2878487111405625
41,26.057501146425125,1.3898305084745763,1.9659477866061292,1.721132897603486,1.8598382749326143,1.7756410256410255,1.6546184738955825,29.98,1015.22,35.158,1.3134579806404605
42,26.01963744057491,1.3728813559322033,1.9839633447880871,1.8387799564270153,1.9973045822102424,1.842948717948718,1.9397590361445785,29.98,1015.22,35.152,1.3595546466188382
43,26.133285237884536,1.3389830508474576,2.009280742459397,1.8954248366013076,2.0781671159029647,1.9423076923076925,2.168674698795181,29.97,1015.22,35.121,1.3923344830240354
44,26.000712522887284,1.3220338983050848,2.0162980209545984,1.888888888888889,2.0916442048517516,2.0,2.1485943775100407,29.97,1015.22,35.115,1.396431961700563
45,26.03856696751535,1.3220338983050848,2.0210035005834306,1.840958605664488,2.0619946091644206,2.016025641025641,1.963855421686747,29.97,1015.22,35.115,1.4046269184708706
46,25.981792171786196,1.3559322033898304,2.032863849765258,1.8017429193899783,2.0323450134770886,2.016025641025641,1.823293172690763,29.97,1015.21,35.092,1.386188264645026
47,26.133285237884536,1.3305084745762712,2.0304806565064477,1.7908496732026145,2.0161725067385445,2.0224358974358974,1.779116465863454,29.97,1015.21,35.097,1.3738958265758254
48,26.11433202290391,1.3389830508474576,2.0210035005834306,1.7821350762527233,2.0,2.0224358974358974,1.7269076305220887,29.97,1015.22,35.063,1.354432796057522
49,26.11433202290391,1.3135593220338981,2.0233644859813085,1.7603485838779955,1.9757412398921834,2.0192307692307696,1.6546184738955825,29.98,1015.21,35.054,1.3370185018787566
50,25.943964998927356,1.3389830508474576,2.0069524913093857,1.7952069716775598,2.0080862533692723,2.028846153846154,1.815261044176707,29.98,1015.21,35.043,1.3359941315236814
51,26.17120630986119,1.3305084745762712,2.002312138728324,1.93681917211329,2.1347708894878705,2.121794871794872,2.289156626506024,29.98,1015.21,35.031,1.3697983468309265
52,26.152243319193246,1.3220338983050848,2.0233644859813085,1.9477124183006538,2.1644204851752016,2.1955128205128207,2.3614457831325306,29.98,1015.21,35.019,1.3984807009659832
53,26.000712522887284,1.3135593220338981,2.032863849765258,1.925925925925926,2.1617250673854445,2.208333333333333,2.2690763052208838,29.98,1015.21,35.013,1.4158949827613534
54,25.981792171786196,1.3305084745762712,2.064362336114422,1.9150326797385622,2.1563342318059298,2.2115384615384617,2.1526104417670684,29.98,1015.21,35.026,1.4220411990279018
55,25.981792171786196,1.3644067796610169,2.096852300242131,1.8845315904139437,2.132075471698113,2.1955128205128207,2.024096385542169,29.98,1015.21,35.026,1.4189680909492601
56,26.11433202290391,1.3898305084745763,2.114774114774115,1.8518518518518519,2.1078167115902966,2.1858974358974357,1.8995983935742973,29.98,1015.21,35.048,1.4036025489170743
57,26.000712522887284,1.3898305084745763,2.1409147095179235,1.8278867102396514,2.0808625336927222,2.1634615384615383,1.8032128514056225,29.98,1015.21,35.112,1.3902857436129281
58,26.17120630986119,1.3983050847457625,2.1515527950310562,1.7973856209150327,2.0539083557951483,2.144230769230769,1.7309236947791167,29.98,1015.22,35.14,1.3810664156619863
59,26.190174252973975,1.38135593220339,2.1488833746898264,1.7799564270152506,2.0323450134770886,2.125,1.6987951807228916,29.98,1015.22,35.158,1.3697983468309265
60,26.000712522887284,1.3983050847457625,2.1435643564356437,1.7668845315904138,2.0107816711590294,2.108974358974359,1.642570281124498,29.98,1015.21,35.169,1.3616033867583803
61,26.11433202290391,1.3983050847457625,2.1330049261083746,1.7385620915032678,1.9784366576819405,2.0865384615384612,1.5622489959839356,29.98,1015.21,35.175,1.3564815363184701
62,26.000712522887284,1.3983050847457625,2.112195121951219,1.7058823529411764,1.9487870619946093,2.064102564102564,1.4859437751004019,29.98,1015.2,35.181,1.3616033867583803
63,26.190174252973975,1.4406779661016949,2.094316807738815,1.6688453159041394,1.9191374663072778,2.0352564102564106,1.3895582329317269,29.98,1015.21,35.181,1.3534084259088368
64,25.962876344655342,1.38135593220339,2.081730769230769,1.6405228758169939,1.889487870619946,2.012820512820513,1.3333333333333333,29.99,1015.2,35.175,1.338042872221691
65,26.152243319193246,1.4322033898305084,2.0594530321046376,1.6165577342047932,1.8598382749326143,1.9871794871794874,1.281124497991968,29.99,1015.22,35.175,1.3257504273051985
66,25.943964998927356,1.38135593220339,2.040047114252061,1.5925925925925926,1.8328840970350402,1.9647435897435899,1.2771084337349397,30.0,1015.22,35.168,1.3175554630562893
67,26.11433202290391,1.3644067796610169,2.018648018648019,1.5686274509803924,1.811320754716981,1.9391025641025643,1.244979919678715,30.0,1015.21,35.161,1.3103848687011124
68,26.152243319193246,1.3559322033898304,1.9930955120828537,1.5468409586056648,1.7870619946091644,1.9134615384615385,1.208835341365462,30.0,1015.21,35.161,1.307311756652499
69,26.09538363127433,1.3728813559322033,1.9862385321100917,1.5294117647058827,1.7628032345013476,1.8942307692307694,1.1847389558232935,30.01,1015.2,35.161,1.3032142737510461
70,26.133285237884536,1.3728813559322033,1.9816933638443934,1.5119825708061,1.7412398921832881,1.8717948717948718,1.1767068273092371,30.01,1015.2,35.145,1.2970680490346491
71,26.152243319193246,1.3559322033898304,1.9438832772166106,1.4989106753812638,1.7277628032345012,1.8493589743589745,1.1887550200803214,30.01,1015.2,35.156,1.2919461947704514
72,26.133285237884536,1.3474576271186443,1.920177383592018,1.485838779956427,1.7088948787061993,1.830128205128205,1.1807228915662653,30.01,1015.21,35.139,1.2950193073653915
73,26.152243319193246,1.3220338983050848,1.9032967032967034,1.4705882352941178,1.6900269541778974,1.810897435897436,1.1767068273092371,30.01,1015.22,35.15,1.2950193073653915
74,26.057501146425125,1.3220338983050848,1.876489707475623,1.457516339869281,1.6738544474393529,1.794871794871795,1.1566265060240966,30.01,1015.22,35.145,1.2817024853315113
75,26.000712522887284,1.3559322033898304,1.8563772775991425,1.44880174291939,1.6603773584905661,1.7756410256410255,1.1485943775100402,30.02,1015.22,35.145,1.2724831457984433
76,25.887257425214216,1.3305084745762712,1.8484525080042689,1.4335511982570808,1.6442048517520216,1.762820512820513,1.1244979919678717,30.02,1015.21,35.15,1.2735075169062353
77,26.01963744057491,1.3220338983050848,1.82124079915878,1.420479302832244,1.6253369272237197,1.7435897435897436,1.1124497991967872,30.02,1015.22,35.15,1.282726856330038
78,26.152243319193246,1.2881355932203389,1.7855670103092782,1.411764705882353,1.6118598382749325,1.7243589743589745,1.108433734939759,30.02,1015.21,35.145,1.2765806301567686
79,26.133285237884536,1.3220338983050848,1.7709611451942742,1.4008714596949894,1.5983827493261455,1.7115384615384615,1.1124497991967872,30.02,1015.21,35.145,1.2714587746785104
80,26.09538363127433,1.3135593220338981,1.7512639029322548,1.3943355119825709,1.587601078167116,1.6955128205128205,1.1044176706827311,30.02,1015.21,35.15,1.2663369188967375
81,26.152243319193246,1.3050847457627117,1.7182539682539681,1.3899782135076255,1.582210242587601,1.6891025641025643,1.100401606425703,30.03,1015.23,35.147,1.225362061716005
82,26.133285237884536,1.2966101694915255,1.7250996015936253,1.383442265795207,1.5714285714285714,1.6762820512820513,1.0963855421686748,30.03,1015.23,35.129,1.2284351766783639
83,25.943964998927356,1.2881355932203389,1.7097729516288254,1.3769063180827887,1.5606469002695416,1.6634615384615385,1.0963855421686748,30.03,1015.23,35.129,1.2335570347061502
84,26.000712522887284,1.2881355932203389,1.6963761018609207,1.3703703703703705,1.5525606469002695,1.6506410256410258,1.0763052208835342,30.03,1015.23,35.142,1.2376545209098477
85,26.01963744057491,1.2881355932203389,1.6947162426614484,1.3594771241830066,1.5417789757412397,1.6410256410256412,1.0602409638554218,30.03,1015.24,35.142,1.2376545209098477
86,26.152243319193246,1.2881355932203389,1.666987487969201,1.352941176470588,1.53099730458221,1.6282051282051284,1.0803212851405624,30.03,1015.24,35.176,1.2356057778322802
87,25.962876344655342,1.2966101694915255,1.6526717557251909,1.3485838779956427,1.5202156334231804,1.6185897435897438,1.0763052208835342,30.03,1015.24,35.17,1.2448251212989052
88,26.133285237884536,1.271186440677966,1.6432637571157496,1.3398692810457518,1.5121293800539082,1.6057692307692308,1.068273092369478,30.03,1015.25,35.176,1.2438007498511758
89,26.0764400200718,1.2966101694915255,1.629350893697084,1.3333333333333335,1.5013477088948786,1.5929487179487178,1.06425702811245,30.03,1015.24,35.181,1.242776378391306
90,26.000712522887284,1.2796610169491525,1.6156716417910446,1.326797385620915,1.4932614555256063,1.580128205128205,1.0562248995983938,30.03,1015.19,35.176,1.2386788924304206
91,26.09538363127433,1.2457627118644068,1.6051899907321594,1.3224400871459696,1.4878706199460916,1.5705128205128205,1.0763052208835342,30.03,1015.24,35.17,1.2417520069192958
92,25.981792171786196,1.271186440677966,1.600739371534196,1.3180827886710242,1.4770889487870618,1.564102564102564,1.100401606425703,30.03,1015.24,35.193,1.2438007498511758
93,26.152243319193246,1.2881355932203389,1.573115349682107,1.3115468409586057,1.4743935309973044,1.5576923076923077,1.0923694779116466,30.04,1015.22,35.193,1.2171670879488607
94,26.057501146425125,1.2627118644067794,1.5875343721356552,1.309368191721133,1.4663072776280321,1.5480769230769231,1.1044176706827311,30.04,1015.22,35.198,1.2161427161733351
95,26.000712522887284,1.2457627118644068,1.5716878402903809,1.3028322440087148,1.4609164420485174,1.5416666666666667,1.1204819277108433,30.04,1015.21,35.193,1.2140939725858615
96,26.152243319193246,1.2542372881355932,1.5561545372866128,1.3028322440087148,1.4528301886792452,1.532051282051282,1.1164658634538154,30.04,1015.21,35.211,1.2161427161733351
97,26.152243319193246,1.271186440677966,1.5603603603603604,1.3006535947712419,1.4474393530997305,1.528846153846154,1.108433734939759,30.04,1015.21,35.217,1.218191459712246
