timestamp,Analog Temperature (oC),Analog VOC in Air,Analog Alcohol in Air,GM102B VOC,GM302B VOC,GM502B VOC,GM702B VOC,Digital Temperature (oC),Air Pressure (hPa),Humidity %,BM680 VOC
0,26.152243319193246,1.1440677966101693,1.5259911894273128,1.1917211328976036,1.315363881401617,1.3237179487179487,0.9919678714859438,30.17,1015.27,35.033,1.5787695661531418
1,26.17120630986119,1.1440677966101693,1.5206321334503952,1.1895424836601307,1.3126684636118597,1.3205128205128205,0.9879518072289157,30.15,1015.25,35.02,1.5808183010965229
2,26.01963744057491,1.1355932203389831,1.5087108013937283,1.1917211328976036,1.307277628032345,1.3173076923076923,0.9839357429718877,30.16,1015.24,35.011,1.4896495491139405
3,26.190174252973975,1.1271186440677965,1.5126637554585154,1.1895424836601307,1.3045822102425875,1.314102564102564,0.9759036144578314,30.15,1015.25,34.985,1.4527722738047348
4,26.152243319193246,1.11864406779661,1.5008665511265165,1.1851851851851851,1.3018867924528301,1.3076923076923077,0.9718875502008032,30.15,1015.22,34.963,1.443552952518969
5,26.190174252973975,1.11864406779661,1.4995670995670993,1.1830065359477124,1.2991913746630726,1.3076923076923077,0.9678714859437751,30.14,1015.23,34.926,1.4138462439087125
6,26.057501146425125,1.1355932203389831,1.4841473864610113,1.1830065359477124,1.2991913746630726,1.3076923076923077,0.9638554216867471,30.16,1015.24,34.914,1.3493109451926908
7,26.17120630986119,1.1271186440677965,1.493103448275862,1.178649237472767,1.2964959568733152,1.3044871794871795,0.9759036144578314,30.16,1015.24,34.901,1.3308722795661974
8,26.190174252973975,1.0932203389830508,1.4790777113578137,1.178649237472767,1.2938005390835579,1.2980769230769231,0.9799196787148594,30.16,1015.24,34.89,1.31960420419136
9,26.01963744057491,1.1101694915254237,1.475298126064736,1.1764705882352942,1.2911051212938003,1.2948717948717947,0.9839357429718877,30.17,1015.28,34.879,1.2724831457984433
10,26.03856696751535,1.11864406779661,1.4677966101694917,1.178649237472767,1.288409703504043,1.2948717948717947,0.9759036144578314,30.17,1015.23,34.873,1.2683856612458688
11,26.17120630986119,1.0932203389830508,1.4715378079864063,1.1742919389978215,1.2857142857142856,1.2884615384615385,0.9759036144578314,30.17,1015.24,34.867,1.270434403546437
12,26.190174252973975,1.1271186440677965,1.453020134228188,1.1721132897603486,1.2830188679245282,1.2884615384615385,0.9759036144578314,30.17,1015.24,34.85,1.270434403546437
13,26.26609641352485,1.1355932203389831,1.453020134228188,1.1721132897603486,1.280323450134771,1.2852564102564104,0.9638554216867471,30.16,1015.24,34.856,1.2601906915579697
14,26.000712522887284,1.152542372881356,1.4493723849372386,1.1677559912854032,1.2776280323450133,1.2820512820512822,0.9598393574297189,30.16,1015.25,34.845,1.2519957210930723
15,26.209147191672173,1.1355932203389831,1.433774834437086,1.1655773420479305,1.274932614555256,1.2756410256410255,0.9598393574297189,30.16,1015.26,34.838,1.2622394340527885
16,26.17120630986119,1.1101694915254237,1.4314049586776858,1.1655773420479305,1.2695417789757413,1.2724358974358974,0.9558232931726909,30.16,1015.26,34.838,1.2530200924436767
17,26.057501146425125,1.1440677966101693,1.4349627174813586,1.1633986928104576,1.2695417789757413,1.2724358974358974,0.9598393574297189,30.16,1015.26,34.838,1.2530200924436767
18,26.190174252973975,1.1016949152542372,1.4185094185094185,1.1633986928104576,1.2641509433962264,1.2660256410256412,0.9598393574297189,30.16,1015.27,34.845,1.2540444637821404
19,26.209147191672173,1.0932203389830508,1.4138775510204082,1.1612200435729847,1.2641509433962264,1.2628205128205128,0.9598393574297189,30.16,1015.26,34.838,1.248922606968416
20,26.01963744057491,1.1101694915254237,1.4127243066884176,1.1633986928104576,1.2614555256064688,1.2628205128205128,0.9718875502008032,30.16,1015.25,34.838,1.2448251212989052
21,26.17120630986119,1.11864406779661,1.4035656401944894,1.1612200435729847,1.2587601078167114,1.2596153846153846,0.9839357429718877,30.16,1015.26,34.85,1.2560932064226462
